Descripcio_causa_mediata,Numero_expedient
No hi ha causa mediata,2019S009081    
No hi ha causa mediata,2019S005897    
No hi ha causa mediata,2019S003396    
No hi ha causa mediata,2019S005903    
No hi ha causa mediata,2019S006077    
No hi ha causa mediata,2019S004059    
No hi ha causa mediata,2019S004256    
No hi ha causa mediata,2019S005478    
No hi ha causa mediata,2019S001657    
No hi ha causa mediata,2019S007098    
No hi ha causa mediata,2019S000438    
No hi ha causa mediata,2019S007619    
No hi ha causa mediata,2019S000862    
No hi ha causa mediata,2019S009369    
No hi ha causa mediata,2019S009274    
No hi ha causa mediata,2019S000249    
Alcoholèmia,2019S000311    
No hi ha causa mediata,2019S002136    
No hi ha causa mediata,2019S009888    
No hi ha causa mediata,2019S008130    
No hi ha causa mediata,2019S001839    
No hi ha causa mediata,2019S001170    
No hi ha causa mediata,2019S001172    
No hi ha causa mediata,2019S001216    
No hi ha causa mediata,2019S004367    
No hi ha causa mediata,2019S004869    
No hi ha causa mediata,2019S000187    
Drogues o medicaments,2019S005027    
No hi ha causa mediata,2019S007362    
Estat de la senyalització,2019S000660    
No hi ha causa mediata,2019S001443    
No hi ha causa mediata,2019S002231    
Alcoholèmia,2019S009575    
No hi ha causa mediata,2019S002004    
No hi ha causa mediata,2019S007828    
No hi ha causa mediata,2019S002742    
No hi ha causa mediata,2019S004230    
No hi ha causa mediata,2019S000501    
No hi ha causa mediata,2019S002393    
No hi ha causa mediata,2019S001426    
No hi ha causa mediata,2019S004392    
No hi ha causa mediata,2019S007841    
No hi ha causa mediata,2019S002932    
No hi ha causa mediata,2019S005662    
No hi ha causa mediata,2019S003022    
No hi ha causa mediata,2019S009041    
No hi ha causa mediata,2019S000747    
No hi ha causa mediata,2019S002530    
No hi ha causa mediata,2019S000654    
No hi ha causa mediata,2019S000193    
No hi ha causa mediata,2019S003625    
No hi ha causa mediata,2019S006483    
No hi ha causa mediata,2019S000442    
No hi ha causa mediata,2019S002786    
No hi ha causa mediata,2019S008145    
No hi ha causa mediata,2019S000470    
No hi ha causa mediata,2019S007894    
No hi ha causa mediata,2019S003753    
No hi ha causa mediata,2019S008224    
No hi ha causa mediata,2019S002170    
No hi ha causa mediata,2019S000694    
No hi ha causa mediata,2019S009584    
No hi ha causa mediata,2019S002407    
No hi ha causa mediata,2019S009860    
No hi ha causa mediata,2019S000549    
No hi ha causa mediata,2019S007791    
No hi ha causa mediata,2019S008309    
No hi ha causa mediata,2019S001520    
No hi ha causa mediata,2019S000537    
No hi ha causa mediata,2019S002821    
No hi ha causa mediata,2019S001201    
No hi ha causa mediata,2019S007830    
No hi ha causa mediata,2019S002356    
No hi ha causa mediata,2019S009218    
No hi ha causa mediata,2019S008136    
No hi ha causa mediata,2019S002359    
No hi ha causa mediata,2019S003548    
No hi ha causa mediata,2019S003123    
No hi ha causa mediata,2019S008801    
No hi ha causa mediata,2019S003355    
No hi ha causa mediata,2019S006586    
No hi ha causa mediata,2019S009979    
No hi ha causa mediata,2019S008746    
Alcoholèmia,2019S000706    
No hi ha causa mediata,2019S000636    
No hi ha causa mediata,2019S005296    
No hi ha causa mediata,2019S008155    
No hi ha causa mediata,2019S002378    
No hi ha causa mediata,2019S008670    
No hi ha causa mediata,2019S003895    
Alcoholèmia,2019S005554    
Alcoholèmia,2019S006477    
No hi ha causa mediata,2019S003619    
No hi ha causa mediata,2019S001880    
No hi ha causa mediata,2019S003203    
Alcoholèmia,2019S005920    
No hi ha causa mediata,2019S007643    
No hi ha causa mediata,2019S000608    
No hi ha causa mediata,2019S004838    
No hi ha causa mediata,2019S000136    
No hi ha causa mediata,2019S006985    
No hi ha causa mediata,2019S004658    
No hi ha causa mediata,2019S006377    
No hi ha causa mediata,2019S005274    
No hi ha causa mediata,2019S001918    
No hi ha causa mediata,2019S001045    
No hi ha causa mediata,2019S007536    
No hi ha causa mediata,2019S001836    
No hi ha causa mediata,2019S003127    
No hi ha causa mediata,2019S008706    
No hi ha causa mediata,2019S003011    
No hi ha causa mediata,2019S003863    
No hi ha causa mediata,2019S005995    
No hi ha causa mediata,2019S001981    
No hi ha causa mediata,2019S000630    
No hi ha causa mediata,2019S003570    
No hi ha causa mediata,2019S005609    
No hi ha causa mediata,2019S005975    
No hi ha causa mediata,2019S009546    
No hi ha causa mediata,2019S004480    
No hi ha causa mediata,2019S003046    
No hi ha causa mediata,2019S002572    
No hi ha causa mediata,2019S004038    
No hi ha causa mediata,2019S009687    
No hi ha causa mediata,2019S000246    
No hi ha causa mediata,2019S009727    
No hi ha causa mediata,2019S008847    
No hi ha causa mediata,2019S000870    
No hi ha causa mediata,2019S009656    
No hi ha causa mediata,2019S004829    
No hi ha causa mediata,2019S005882    
No hi ha causa mediata,2019S005839    
No hi ha causa mediata,2019S004800    
No hi ha causa mediata,2019S004440    
No hi ha causa mediata,2019S004778    
No hi ha causa mediata,2019S002722    
No hi ha causa mediata,2019S009117    
No hi ha causa mediata,2019S001226    
No hi ha causa mediata,2019S004371    
No hi ha causa mediata,2019S004925    
No hi ha causa mediata,2019S001222    
No hi ha causa mediata,2019S004942    
No hi ha causa mediata,2019S003698    
No hi ha causa mediata,2019S004021    
No hi ha causa mediata,2019S001746    
No hi ha causa mediata,2019S007471    
No hi ha causa mediata,2019S008973    
No hi ha causa mediata,2019S004250    
No hi ha causa mediata,2019S009639    
No hi ha causa mediata,2019S004847    
Alcoholèmia,2019S005694    
No hi ha causa mediata,2019S010033    
No hi ha causa mediata,2019S006002    
No hi ha causa mediata,2019S009464    
No hi ha causa mediata,2019S007978    
No hi ha causa mediata,2019S006627    
No hi ha causa mediata,2019S000011    
No hi ha causa mediata,2019S003924    
No hi ha causa mediata,2019S008181    
No hi ha causa mediata,2019S000320    
No hi ha causa mediata,2019S006958    
No hi ha causa mediata,2019S005297    
No hi ha causa mediata,2019S008260    
No hi ha causa mediata,2019S006167    
No hi ha causa mediata,2019S001840    
No hi ha causa mediata,2019S004255    
No hi ha causa mediata,2019S001492    
No hi ha causa mediata,2019S001049    
No hi ha causa mediata,2019S001595    
No hi ha causa mediata,2019S004718    
No hi ha causa mediata,2019S004789    
No hi ha causa mediata,2019S001418    
No hi ha causa mediata,2019S009716    
No hi ha causa mediata,2019S007766    
No hi ha causa mediata,2019S005754    
No hi ha causa mediata,2019S006015    
No hi ha causa mediata,2019S003296    
No hi ha causa mediata,2019S003106    
No hi ha causa mediata,2019S007378    
No hi ha causa mediata,2019S006527    
No hi ha causa mediata,2019S007796    
No hi ha causa mediata,2019S007498    
No hi ha causa mediata,2019S002548    
No hi ha causa mediata,2019S002408    
No hi ha causa mediata,2019S004430    
No hi ha causa mediata,2019S002026    
No hi ha causa mediata,2019S005729    
No hi ha causa mediata,2019S003834    
No hi ha causa mediata,2019S005399    
Calçada en mal estat,2019S006097    
No hi ha causa mediata,2019S001138    
Calçada en mal estat,2019S008057    
No hi ha causa mediata,2019S008050    
No hi ha causa mediata,2019S007376    
Alcoholèmia,2019S009961    
No hi ha causa mediata,2019S000556    
No hi ha causa mediata,2019S002974    
No hi ha causa mediata,2019S005044    
No hi ha causa mediata,2019S009286    
No hi ha causa mediata,2019S005005    
No hi ha causa mediata,2019S009109    
No hi ha causa mediata,2019S001504    
Alcoholèmia,2019S003420    
No hi ha causa mediata,2019S009596    
No hi ha causa mediata,2019S002753    
No hi ha causa mediata,2019S002902    
No hi ha causa mediata,2019S001897    
No hi ha causa mediata,2019S004502    
No hi ha causa mediata,2019S006147    
No hi ha causa mediata,2019S003395    
No hi ha causa mediata,2019S006143    
No hi ha causa mediata,2019S005253    
No hi ha causa mediata,2019S001451    
No hi ha causa mediata,2019S009858    
No hi ha causa mediata,2019S009252    
No hi ha causa mediata,2019S002349    
No hi ha causa mediata,2019S005061    
No hi ha causa mediata,2019S003384    
No hi ha causa mediata,2019S005421    
No hi ha causa mediata,2019S002229    
No hi ha causa mediata,2019S001181    
No hi ha causa mediata,2019S005217    
No hi ha causa mediata,2019S005052    
No hi ha causa mediata,2019S000807    
No hi ha causa mediata,2019S001671    
Alcoholèmia,2019S008710    
No hi ha causa mediata,2019S001084    
Alcoholèmia,2019S006274    
No hi ha causa mediata,2019S009646    
No hi ha causa mediata,2019S003611    
No hi ha causa mediata,2019S008673    
No hi ha causa mediata,2019S004563    
No hi ha causa mediata,2019S003878    
No hi ha causa mediata,2019S009499    
Alcoholèmia,2019S006148    
Alcoholèmia,2019S003028    
No hi ha causa mediata,2019S006354    
No hi ha causa mediata,2019S002380    
No hi ha causa mediata,2019S003026    
No hi ha causa mediata,2019S004275    
No hi ha causa mediata,2019S001379    
Alcoholèmia,2019S005764    
No hi ha causa mediata,2019S005058    
No hi ha causa mediata,2019S005669    
Drogues o medicaments,2019S006619    
Alcoholèmia,2019S003648    
No hi ha causa mediata,2019S007310    
Alcoholèmia,2019S007308    
No hi ha causa mediata,2019S004052    
No hi ha causa mediata,2019S002709    
No hi ha causa mediata,2019S004411    
No hi ha causa mediata,2019S008112    
No hi ha causa mediata,2019S008316    
No hi ha causa mediata,2019S009083    
No hi ha causa mediata,2019S006673    
No hi ha causa mediata,2019S006074    
No hi ha causa mediata,2019S010025    
No hi ha causa mediata,2019S004638    
No hi ha causa mediata,2019S007783    
No hi ha causa mediata,2019S001094    
Calçada en mal estat,2019S000366    
No hi ha causa mediata,2019S001527    
Calçada en mal estat,2019S007136    
No hi ha causa mediata,2019S000964    
No hi ha causa mediata,2019S001615    
No hi ha causa mediata,2019S001245    
No hi ha causa mediata,2019S002186    
Alcoholèmia,2019S002071    
No hi ha causa mediata,2019S003587    
No hi ha causa mediata,2019S000841    
Alcoholèmia,2019S005139    
No hi ha causa mediata,2019S002780    
No hi ha causa mediata,2019S008579    
No hi ha causa mediata,2019S008464    
No hi ha causa mediata,2019S003975    
No hi ha causa mediata,2019S005726    
No hi ha causa mediata,2019S002877    
No hi ha causa mediata,2019S003198    
No hi ha causa mediata,2019S003299    
No hi ha causa mediata,2019S008179    
Alcoholèmia,2019S004592    
No hi ha causa mediata,2019S006060    
No hi ha causa mediata,2019S006810    
No hi ha causa mediata,2019S009846    
No hi ha causa mediata,2019S002113    
No hi ha causa mediata,2019S007388    
No hi ha causa mediata,2019S007109    
No hi ha causa mediata,2019S005278    
No hi ha causa mediata,2019S007601    
No hi ha causa mediata,2019S009314    
No hi ha causa mediata,2019S000224    
No hi ha causa mediata,2019S004419    
No hi ha causa mediata,2019S003149    
No hi ha causa mediata,2019S006257    
No hi ha causa mediata,2019S003423    
No hi ha causa mediata,2019S004894    
No hi ha causa mediata,2019S002771    
No hi ha causa mediata,2019S000676    
No hi ha causa mediata,2019S007739    
No hi ha causa mediata,2019S007448    
No hi ha causa mediata,2019S005803    
No hi ha causa mediata,2019S004635    
No hi ha causa mediata,2019S002040    
No hi ha causa mediata,2019S009619    
No hi ha causa mediata,2019S002421    
No hi ha causa mediata,2019S000079    
No hi ha causa mediata,2019S006930    
Alcoholèmia,2019S002092    
No hi ha causa mediata,2019S006124    
No hi ha causa mediata,2019S006388    
No hi ha causa mediata,2019S000586    
No hi ha causa mediata,2019S008950    
No hi ha causa mediata,2019S006464    
No hi ha causa mediata,2019S008813    
No hi ha causa mediata,2019S001121    
No hi ha causa mediata,2019S006305    
Alcoholèmia,2019S009900    
Alcoholèmia,2019S005245    
No hi ha causa mediata,2019S007041    
No hi ha causa mediata,2019S008320    
No hi ha causa mediata,2019S008829    
No hi ha causa mediata,2019S006603    
No hi ha causa mediata,2019S002681    
Alcoholèmia,2019S006550    
No hi ha causa mediata,2019S003743    
No hi ha causa mediata,2019S007758    
No hi ha causa mediata,2019S005646    
No hi ha causa mediata,2019S004157    
No hi ha causa mediata,2019S001251    
No hi ha causa mediata,2019S001979    
No hi ha causa mediata,2019S000798    
No hi ha causa mediata,2019S007726    
No hi ha causa mediata,2019S002474    
No hi ha causa mediata,2019S003268    
No hi ha causa mediata,2019S000288    
No hi ha causa mediata,2019S004833    
No hi ha causa mediata,2019S006374    
No hi ha causa mediata,2019S001345    
No hi ha causa mediata,2019S007737    
No hi ha causa mediata,2019S005604    
No hi ha causa mediata,2019S000589    
No hi ha causa mediata,2019S004964    
Alcoholèmia,2019S008054    
No hi ha causa mediata,2019S006337    
No hi ha causa mediata,2019S006759    
No hi ha causa mediata,2019S001126    
No hi ha causa mediata,2019S008495    
No hi ha causa mediata,2019S007351    
No hi ha causa mediata,2019S002830    
No hi ha causa mediata,2019S003758    
No hi ha causa mediata,2019S006830    
Alcoholèmia,2019S005482    
No hi ha causa mediata,2019S005034    
No hi ha causa mediata,2019S006135    
Alcoholèmia,2019S007689    
No hi ha causa mediata,2019S001117    
No hi ha causa mediata,2019S004467    
Alcoholèmia,2019S006234    
No hi ha causa mediata,2019S009560    
No hi ha causa mediata,2019S001029    
No hi ha causa mediata,2019S000151    
No hi ha causa mediata,2019S007108    
No hi ha causa mediata,2019S001282    
No hi ha causa mediata,2019S007207    
No hi ha causa mediata,2019S002840    
No hi ha causa mediata,2019S002747    
Excés de velocitat o inadequada,2019S000627    
No hi ha causa mediata,2019S005075    
No hi ha causa mediata,2019S002437    
No hi ha causa mediata,2019S001219    
Objectes o animals a la calçada,2019S001881    
No hi ha causa mediata,2019S008478    
No hi ha causa mediata,2019S009221    
No hi ha causa mediata,2019S006454    
No hi ha causa mediata,2019S000672    
No hi ha causa mediata,2019S002680    
No hi ha causa mediata,2019S001366    
No hi ha causa mediata,2019S000397    
No hi ha causa mediata,2019S001611    
No hi ha causa mediata,2019S008331    
No hi ha causa mediata,2019S008122    
No hi ha causa mediata,2019S009379    
No hi ha causa mediata,2019S000178    
No hi ha causa mediata,2019S008972    
No hi ha causa mediata,2019S008863    
No hi ha causa mediata,2019S005254    
No hi ha causa mediata,2019S007071    
No hi ha causa mediata,2019S001641    
No hi ha causa mediata,2019S001100    
No hi ha causa mediata,2019S008983    
No hi ha causa mediata,2019S005057    
No hi ha causa mediata,2019S005546    
No hi ha causa mediata,2019S002038    
Drogues o medicaments,2019S009420    
No hi ha causa mediata,2019S006050    
Alcoholèmia,2019S009062    
No hi ha causa mediata,2019S005308    
No hi ha causa mediata,2019S004726    
No hi ha causa mediata,2019S006171    
No hi ha causa mediata,2019S008256    
No hi ha causa mediata,2019S002688    
No hi ha causa mediata,2019S000535    
No hi ha causa mediata,2019S008877    
No hi ha causa mediata,2019S000255    
Alcoholèmia,2019S004699    
No hi ha causa mediata,2019S002779    
No hi ha causa mediata,2019S002427    
No hi ha causa mediata,2019S007801    
No hi ha causa mediata,2019S000274    
No hi ha causa mediata,2019S009556    
Alcoholèmia,2019S009438    
No hi ha causa mediata,2019S002847    
No hi ha causa mediata,2019S003321    
No hi ha causa mediata,2019S006344    
No hi ha causa mediata,2019S004513    
No hi ha causa mediata,2019S005953    
No hi ha causa mediata,2019S005104    
No hi ha causa mediata,2019S008925    
No hi ha causa mediata,2019S005010    
No hi ha causa mediata,2019S007491    
Objectes o animals a la calçada,2019S007426    
No hi ha causa mediata,2019S003120    
No hi ha causa mediata,2019S002783    
No hi ha causa mediata,2019S006815    
No hi ha causa mediata,2019S003151    
No hi ha causa mediata,2019S008721    
No hi ha causa mediata,2019S003529    
No hi ha causa mediata,2019S004058    
No hi ha causa mediata,2019S009208    
No hi ha causa mediata,2019S004357    
No hi ha causa mediata,2019S008346    
No hi ha causa mediata,2019S004284    
No hi ha causa mediata,2019S005571    
No hi ha causa mediata,2019S007571    
No hi ha causa mediata,2019S000822    
No hi ha causa mediata,2019S008484    
No hi ha causa mediata,2019S008634    
No hi ha causa mediata,2019S009671    
No hi ha causa mediata,2019S007771    
No hi ha causa mediata,2019S009679    
No hi ha causa mediata,2019S005116    
No hi ha causa mediata,2019S008184    
Alcoholèmia,2019S002301    
No hi ha causa mediata,2019S000054    
No hi ha causa mediata,2019S006359    
No hi ha causa mediata,2019S001932    
No hi ha causa mediata,2019S003982    
No hi ha causa mediata,2019S003173    
No hi ha causa mediata,2019S005359    
Alcoholèmia,2019S003364    
No hi ha causa mediata,2019S004226    
No hi ha causa mediata,2019S005310    
No hi ha causa mediata,2019S008252    
No hi ha causa mediata,2019S003877    
No hi ha causa mediata,2019S000695    
No hi ha causa mediata,2019S006446    
No hi ha causa mediata,2019S001009    
No hi ha causa mediata,2019S001991    
No hi ha causa mediata,2019S006242    
No hi ha causa mediata,2019S003167    
No hi ha causa mediata,2019S007291    
No hi ha causa mediata,2019S008395    
No hi ha causa mediata,2019S005494    
Alcoholèmia,2019S001307    
No hi ha causa mediata,2019S005385    
No hi ha causa mediata,2019S001088    
No hi ha causa mediata,2019S009617    
No hi ha causa mediata,2019S005899    
No hi ha causa mediata,2019S005381    
No hi ha causa mediata,2019S000688    
No hi ha causa mediata,2019S002967    
Alcoholèmia,2019S005552    
No hi ha causa mediata,2019S004756    
No hi ha causa mediata,2019S006652    
No hi ha causa mediata,2019S005809    
No hi ha causa mediata,2019S001221    
No hi ha causa mediata,2019S001760    
No hi ha causa mediata,2019S009704    
Alcoholèmia,2019S007672    
No hi ha causa mediata,2019S005464    
Alcoholèmia,2019S008678    
No hi ha causa mediata,2019S000037    
No hi ha causa mediata,2019S000763    
No hi ha causa mediata,2019S009045    
No hi ha causa mediata,2019S002961    
No hi ha causa mediata,2019S007589    
No hi ha causa mediata,2019S006112    
No hi ha causa mediata,2019S000343    
No hi ha causa mediata,2019S009521    
No hi ha causa mediata,2019S002270    
No hi ha causa mediata,2019S007335    
No hi ha causa mediata,2019S006727    
No hi ha causa mediata,2019S007946    
No hi ha causa mediata,2019S008078    
No hi ha causa mediata,2019S000013    
No hi ha causa mediata,2019S007681    
No hi ha causa mediata,2019S008013    
No hi ha causa mediata,2019S001305    
No hi ha causa mediata,2019S003817    
No hi ha causa mediata,2019S005813    
No hi ha causa mediata,2019S003380    
No hi ha causa mediata,2019S009382    
No hi ha causa mediata,2019S004754    
Alcoholèmia,2019S006498    
No hi ha causa mediata,2019S007462    
No hi ha causa mediata,2019S002487    
No hi ha causa mediata,2019S007268    
No hi ha causa mediata,2019S000656    
No hi ha causa mediata,2019S003776    
No hi ha causa mediata,2019S009838    
No hi ha causa mediata,2019S008884    
No hi ha causa mediata,2019S003369    
No hi ha causa mediata,2019S004691    
No hi ha causa mediata,2019S008988    
No hi ha causa mediata,2019S000932    
No hi ha causa mediata,2019S006210    
No hi ha causa mediata,2019S003780    
No hi ha causa mediata,2019S001928    
No hi ha causa mediata,2019S006875    
No hi ha causa mediata,2019S004463    
No hi ha causa mediata,2019S001420    
No hi ha causa mediata,2019S006184    
No hi ha causa mediata,2019S007199    
No hi ha causa mediata,2019S005454    
No hi ha causa mediata,2019S008489    
No hi ha causa mediata,2019S005334    
No hi ha causa mediata,2019S000489    
No hi ha causa mediata,2019S009692    
No hi ha causa mediata,2019S004607    
No hi ha causa mediata,2019S009861    
No hi ha causa mediata,2019S008667    
No hi ha causa mediata,2019S004115    
No hi ha causa mediata,2019S004657    
No hi ha causa mediata,2019S006286    
No hi ha causa mediata,2019S006329    
No hi ha causa mediata,2019S006390    
No hi ha causa mediata,2019S008262    
No hi ha causa mediata,2019S007328    
No hi ha causa mediata,2019S006570    
Excés de velocitat o inadequada,2019S009984    
No hi ha causa mediata,2019S004249    
No hi ha causa mediata,2019S003687    
No hi ha causa mediata,2019S001957    
No hi ha causa mediata,2019S009135    
No hi ha causa mediata,2019S002134    
No hi ha causa mediata,2019S009174    
No hi ha causa mediata,2019S006829    
No hi ha causa mediata,2019S006998    
No hi ha causa mediata,2019S009040    
No hi ha causa mediata,2019S007951    
No hi ha causa mediata,2019S002905    
Alcoholèmia,2019S009590    
No hi ha causa mediata,2019S007023    
No hi ha causa mediata,2019S006260    
No hi ha causa mediata,2019S006692    
No hi ha causa mediata,2019S005806    
No hi ha causa mediata,2019S008593    
No hi ha causa mediata,2019S001485    
No hi ha causa mediata,2019S008104    
No hi ha causa mediata,2019S001986    
No hi ha causa mediata,2019S008717    
No hi ha causa mediata,2019S004199    
No hi ha causa mediata,2019S005433    
Excés de velocitat o inadequada,2019S003719    
No hi ha causa mediata,2019S007057    
No hi ha causa mediata,2019S006186    
No hi ha causa mediata,2019S002306    
No hi ha causa mediata,2019S000646    
No hi ha causa mediata,2019S002360    
No hi ha causa mediata,2019S004385    
Alcoholèmia,2019S009437    
No hi ha causa mediata,2019S001456    
No hi ha causa mediata,2019S009033    
No hi ha causa mediata,2019S008336    
No hi ha causa mediata,2019S007639    
No hi ha causa mediata,2019S006776    
Alcoholèmia,2019S007341    
No hi ha causa mediata,2019S003624    
No hi ha causa mediata,2019S003755    
No hi ha causa mediata,2019S005258    
No hi ha causa mediata,2019S000617    
No hi ha causa mediata,2019S003563    
No hi ha causa mediata,2019S003200    
No hi ha causa mediata,2019S008082    
No hi ha causa mediata,2019S001395    
No hi ha causa mediata,2019S005636    
No hi ha causa mediata,2019S008201    
No hi ha causa mediata,2019S004267    
No hi ha causa mediata,2019S005324    
No hi ha causa mediata,2019S000766    
No hi ha causa mediata,2019S001197    
No hi ha causa mediata,2019S007509    
No hi ha causa mediata,2019S003644    
No hi ha causa mediata,2019S004540    
No hi ha causa mediata,2019S004836    
No hi ha causa mediata,2019S001450    
No hi ha causa mediata,2019S005517    
No hi ha causa mediata,2019S004149    
No hi ha causa mediata,2019S000713    
No hi ha causa mediata,2019S007142    
No hi ha causa mediata,2019S000441    
No hi ha causa mediata,2019S008929    
No hi ha causa mediata,2019S006416    
No hi ha causa mediata,2019S001432    
No hi ha causa mediata,2019S005711    
No hi ha causa mediata,2019S007692    
No hi ha causa mediata,2019S007467    
Alcoholèmia,2019S005845    
Alcoholèmia,2019S008750    
No hi ha causa mediata,2019S009484    
No hi ha causa mediata,2019S005721    
No hi ha causa mediata,2019S002412    
No hi ha causa mediata,2019S001963    
No hi ha causa mediata,2019S005501    
Alcoholèmia,2019S003251    
No hi ha causa mediata,2019S009680    
No hi ha causa mediata,2019S004524    
No hi ha causa mediata,2019S004963    
No hi ha causa mediata,2019S004439    
No hi ha causa mediata,2019S007744    
Alcoholèmia,2019S000529    
No hi ha causa mediata,2019S002338    
No hi ha causa mediata,2019S001122    
No hi ha causa mediata,2019S002536    
No hi ha causa mediata,2019S000451    
No hi ha causa mediata,2019S009904    
No hi ha causa mediata,2019S008842    
No hi ha causa mediata,2019S000597    
No hi ha causa mediata,2019S009675    
No hi ha causa mediata,2019S008321    
No hi ha causa mediata,2019S002341    
No hi ha causa mediata,2019S002798    
No hi ha causa mediata,2019S008028    
No hi ha causa mediata,2019S001293    
No hi ha causa mediata,2019S000863    
No hi ha causa mediata,2019S001058    
No hi ha causa mediata,2019S009098    
No hi ha causa mediata,2019S009052    
No hi ha causa mediata,2019S007228    
No hi ha causa mediata,2019S008452    
No hi ha causa mediata,2019S007718    
No hi ha causa mediata,2019S006751    
No hi ha causa mediata,2019S002818    
No hi ha causa mediata,2019S009708    
No hi ha causa mediata,2019S003041    
No hi ha causa mediata,2019S002363    
No hi ha causa mediata,2019S000227    
No hi ha causa mediata,2019S008568    
No hi ha causa mediata,2019S002542    
No hi ha causa mediata,2019S000342    
No hi ha causa mediata,2019S006893    
No hi ha causa mediata,2019S000390    
No hi ha causa mediata,2019S000008    
No hi ha causa mediata,2019S002465    
No hi ha causa mediata,2019S008919    
No hi ha causa mediata,2019S001665    
No hi ha causa mediata,2019S006611    
No hi ha causa mediata,2019S000198    
No hi ha causa mediata,2019S001821    
No hi ha causa mediata,2019S000712    
No hi ha causa mediata,2019S001594    
No hi ha causa mediata,2019S000771    
No hi ha causa mediata,2019S009060    
No hi ha causa mediata,2019S002330    
No hi ha causa mediata,2019S002023    
No hi ha causa mediata,2019S006073    
No hi ha causa mediata,2019S004993    
No hi ha causa mediata,2019S004420    
No hi ha causa mediata,2019S005978    
No hi ha causa mediata,2019S003531    
No hi ha causa mediata,2019S005262    
No hi ha causa mediata,2019S009842    
No hi ha causa mediata,2019S009882    
No hi ha causa mediata,2019S002557    
No hi ha causa mediata,2019S004416    
No hi ha causa mediata,2019S009331    
No hi ha causa mediata,2019S003623    
No hi ha causa mediata,2019S002856    
No hi ha causa mediata,2019S000087    
No hi ha causa mediata,2019S005986    
No hi ha causa mediata,2019S008525    
No hi ha causa mediata,2019S004485    
No hi ha causa mediata,2019S000551    
No hi ha causa mediata,2019S000150    
No hi ha causa mediata,2019S008584    
No hi ha causa mediata,2019S001969    
No hi ha causa mediata,2019S006406    
Alcoholèmia,2019S004927    
No hi ha causa mediata,2019S007346    
No hi ha causa mediata,2019S005026    
No hi ha causa mediata,2019S006765    
No hi ha causa mediata,2019S001844    
No hi ha causa mediata,2019S000926    
No hi ha causa mediata,2019S000885    
No hi ha causa mediata,2019S006365    
No hi ha causa mediata,2019S004015    
No hi ha causa mediata,2019S001258    
Drogues o medicaments,2019S009157    
No hi ha causa mediata,2019S006651    
No hi ha causa mediata,2019S008176    
No hi ha causa mediata,2019S005719    
No hi ha causa mediata,2019S002611    
Alcoholèmia,2019S001887    
No hi ha causa mediata,2019S000852    
No hi ha causa mediata,2019S005203    
No hi ha causa mediata,2019S000176    
No hi ha causa mediata,2019S003069    
No hi ha causa mediata,2019S005585    
No hi ha causa mediata,2019S000448    
No hi ha causa mediata,2019S004091    
No hi ha causa mediata,2019S006654    
No hi ha causa mediata,2019S009914    
No hi ha causa mediata,2019S005923    
No hi ha causa mediata,2019S002541    
No hi ha causa mediata,2019S000282    
No hi ha causa mediata,2019S006054    
No hi ha causa mediata,2019S001562    
No hi ha causa mediata,2019S007535    
No hi ha causa mediata,2019S005351    
No hi ha causa mediata,2019S008388    
No hi ha causa mediata,2019S005137    
No hi ha causa mediata,2019S009015    
No hi ha causa mediata,2019S005283    
No hi ha causa mediata,2019S004273    
No hi ha causa mediata,2019S009747    
No hi ha causa mediata,2019S002978    
No hi ha causa mediata,2019S005202    
No hi ha causa mediata,2019S007274    
No hi ha causa mediata,2019S006592    
No hi ha causa mediata,2019S004197    
No hi ha causa mediata,2019S001677    
No hi ha causa mediata,2019S002864    
No hi ha causa mediata,2019S002774    
No hi ha causa mediata,2019S006905    
No hi ha causa mediata,2019S009399    
No hi ha causa mediata,2019S004574    
No hi ha causa mediata,2019S002841    
No hi ha causa mediata,2019S000857    
No hi ha causa mediata,2019S002143    
No hi ha causa mediata,2019S003082    
No hi ha causa mediata,2019S008041    
No hi ha causa mediata,2019S000408    
No hi ha causa mediata,2019S006266    
No hi ha causa mediata,2019S000907    
No hi ha causa mediata,2019S003070    
No hi ha causa mediata,2019S002716    
No hi ha causa mediata,2019S000725    
No hi ha causa mediata,2019S006465    
No hi ha causa mediata,2019S004456    
No hi ha causa mediata,2019S006357    
No hi ha causa mediata,2019S008631    
No hi ha causa mediata,2019S008094    
No hi ha causa mediata,2019S003365    
No hi ha causa mediata,2019S005747    
No hi ha causa mediata,2019S001071    
No hi ha causa mediata,2019S003932    
No hi ha causa mediata,2019S000068    
No hi ha causa mediata,2019S007976    
No hi ha causa mediata,2019S004407    
No hi ha causa mediata,2019S005350    
No hi ha causa mediata,2019S003646    
No hi ha causa mediata,2019S007086    
No hi ha causa mediata,2019S007436    
No hi ha causa mediata,2019S006098    
No hi ha causa mediata,2019S007883    
No hi ha causa mediata,2019S000791    
No hi ha causa mediata,2019S003326    
No hi ha causa mediata,2019S006574    
No hi ha causa mediata,2019S009186    
No hi ha causa mediata,2019S001829    
No hi ha causa mediata,2019S001343    
No hi ha causa mediata,2019S003545    
No hi ha causa mediata,2019S001360    
No hi ha causa mediata,2019S000916    
No hi ha causa mediata,2019S008766    
No hi ha causa mediata,2019S003491    
No hi ha causa mediata,2019S000629    
No hi ha causa mediata,2019S004351    
No hi ha causa mediata,2019S006492    
Alcoholèmia,2019S001698    
No hi ha causa mediata,2019S003134    
